0, 0, Header, 1, 3, 384
1, 0, Start_track
1, 0, Title_t, "control track"
1, 0, Text_t, "creator: "
1, 0, Text_t, "GNU LilyPond 2.11.49          "
1, 0, Time_signature, 3, 2, 18, 8
1, 0, Tempo, 666666
1, 0, End_track
2, 0, Start_track
2, 0, Title_t, "one"
2, 0, Key_signature, -1, "major"
2, 0, Note_on_c, 1, 76, 127
2, 96, Note_off_c, 1, 76, 64
2, 96, Note_on_c, 1, 72, 127
2, 192, Note_off_c, 1, 72, 64
2, 192, Note_on_c, 1, 76, 127
2, 288, Note_off_c, 1, 76, 64
2, 288, Note_on_c, 1, 74, 127
2, 384, Note_off_c, 1, 74, 64
2, 384, Note_on_c, 1, 76, 127
2, 480, Note_off_c, 1, 76, 64
2, 480, Note_on_c, 1, 72, 127
2, 576, Note_off_c, 1, 72, 64
2, 576, Note_on_c, 1, 76, 127
2, 672, Note_off_c, 1, 76, 64
2, 672, Note_on_c, 1, 74, 127
2, 768, Note_off_c, 1, 74, 64
2, 768, Note_on_c, 1, 76, 127
2, 864, Note_off_c, 1, 76, 64
2, 864, Note_on_c, 1, 72, 127
2, 960, Note_off_c, 1, 72, 64
2, 960, Note_on_c, 1, 71, 127
2, 1056, Note_off_c, 1, 71, 64
2, 1056, Note_on_c, 1, 72, 127
2, 1152, Note_off_c, 1, 72, 64
2, 1152, Note_on_c, 1, 66, 127
2, 1344, Note_off_c, 1, 66, 64
2, 1344, Note_on_c, 1, 67, 127
2, 1536, Note_off_c, 1, 67, 64
2, 1536, Note_on_c, 1, 64, 127
2, 1728, Note_off_c, 1, 64, 64
2, 1728, Note_on_c, 1, 67, 127
2, 1920, Note_off_c, 1, 67, 64
2, 1920, Note_on_c, 1, 67, 127
2, 2016, Note_off_c, 1, 67, 64
2, 2016, Note_on_c, 1, 66, 127
2, 2112, Note_off_c, 1, 66, 64
2, 2112, Note_on_c, 1, 64, 127
2, 2208, Note_off_c, 1, 64, 64
2, 2208, Note_on_c, 1, 76, 127
2, 2304, Note_off_c, 1, 76, 64
2, 2304, Note_on_c, 1, 65, 127
2, 2496, Note_off_c, 1, 65, 64
2, 2496, Note_on_c, 1, 62, 127
2, 2688, Note_off_c, 1, 62, 64
2, 2688, Note_on_c, 1, 59, 127
2, 2880, Note_off_c, 1, 59, 64
2, 2880, Note_on_c, 1, 67, 127
2, 3072, Note_off_c, 1, 67, 64
2, 3072, Note_on_c, 1, 67, 127
2, 3168, Note_off_c, 1, 67, 64
2, 3168, Note_on_c, 1, 57, 127
2, 3264, Note_off_c, 1, 57, 64
2, 3264, Note_on_c, 1, 78, 127
